"No.","Time","Source","Length","stNum","sqNum","goID","integer","integer","integer"
"9","3.459468621","ipcas_21:73:31","149","1","0","LIED12CTRL/LLN0$Status","1","1","0"
"10","3.459475324","ipcas_21:73:31","146","1","0","LIED12PROT/LLN0$Alarm","1","",""
"11","3.459517120","ipcas_21:73:31","203","1","0","LIED12MEAS/LLN0$Measurement","311","307","305"
"63","4.484075679","ipcas_21:73:31","149","1","1","LIED12CTRL/LLN0$Status","1","1","0"
"64","4.484076635","ipcas_21:73:31","146","1","1","LIED12PROT/LLN0$Alarm","1","",""
"65","4.484077707","ipcas_21:73:31","203","1","1","LIED12MEAS/LLN0$Measurement","310","310","313"
"118","5.530475304","ipcas_21:73:31","149","1","2","LIED12CTRL/LLN0$Status","1","1","0"
"119","5.530737330","ipcas_21:73:31","146","1","2","LIED12PROT/LLN0$Alarm","1","",""
"120","5.532205227","ipcas_21:73:31","203","1","2","LIED12MEAS/LLN0$Measurement","308","309","308"
"171","6.590023240","ipcas_21:73:31","149","1","3","LIED12CTRL/LLN0$Status","1","1","0"
"172","6.590024169","ipcas_21:73:31","146","1","3","LIED12PROT/LLN0$Alarm","1","",""
"173","6.590025562","ipcas_21:73:31","203","1","3","LIED12MEAS/LLN0$Measurement","309","306","315"
"224","7.620192893","ipcas_21:73:31","149","1","4","LIED12CTRL/LLN0$Status","1","1","0"
"225","7.620195826","ipcas_21:73:31","146","1","4","LIED12PROT/LLN0$Alarm","1","",""
"226","7.620196319","ipcas_21:73:31","203","1","4","LIED12MEAS/LLN0$Measurement","313","315","310"
"278","8.682085504","ipcas_21:73:31","149","1","5","LIED12CTRL/LLN0$Status","1","1","0"
"279","8.682092081","ipcas_21:73:31","146","1","5","LIED12PROT/LLN0$Alarm","1","",""
"280","8.682092801","ipcas_21:73:31","203","1","5","LIED12MEAS/LLN0$Measurement","315","311","314"
"332","9.743701719","ipcas_21:73:31","149","1","6","LIED12CTRL/LLN0$Status","1","1","0"
"333","9.743707155","ipcas_21:73:31","146","1","6","LIED12PROT/LLN0$Alarm","1","",""
"334","9.743708261","ipcas_21:73:31","203","1","6","LIED12MEAS/LLN0$Measurement","309","314","315"
"385","10.789652330","ipcas_21:73:31","149","1","7","LIED12CTRL/LLN0$Status","1","1","0"
"386","10.790484862","ipcas_21:73:31","146","1","7","LIED12PROT/LLN0$Alarm","1","",""
"387","10.790490215","ipcas_21:73:31","203","1","7","LIED12MEAS/LLN0$Measurement","315","310","307"
"439","11.855195118","ipcas_21:73:31","149","1","8","LIED12CTRL/LLN0$Status","1","1","0"
"440","11.855200400","ipcas_21:73:31","146","1","8","LIED12PROT/LLN0$Alarm","1","",""
