"No.","Time","Source","Length","stNum","sqNum","Data","goID","integer","integer","integer"
"73","1.248202850","ipcas_21:73:19","149","1","0","integer,integer,integer,integer,boolean","LIED41CTRL/LLN0$Status","1","1","0"
"74","1.248243346","ipcas_21:73:19","146","1","0","boolean,integer,boolean,boolean,boolean","LIED41PROT/LLN0$Alarm","1","",""
"75","1.248246039","ipcas_21:73:19","198","1","0","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED41MEAS/LLN0$Measurement","366","374","367"
"126","2.270421253","ipcas_21:73:19","149","1","1","integer,integer,integer,integer,boolean","LIED41CTRL/LLN0$Status","1","1","0"
"127","2.270433461","ipcas_21:73:19","146","1","1","boolean,integer,boolean,boolean,boolean","LIED41PROT/LLN0$Alarm","1","",""
"128","2.270434844","ipcas_21:73:19","198","1","1","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED41MEAS/LLN0$Measurement","370","370","369"
"179","3.297813502","ipcas_21:73:19","149","1","2","integer,integer,integer,integer,boolean","LIED41CTRL/LLN0$Status","1","1","0"
"180","3.297863798","ipcas_21:73:19","146","1","2","boolean,integer,boolean,boolean,boolean","LIED41PROT/LLN0$Alarm","1","",""
"181","3.297866912","ipcas_21:73:19","198","1","2","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED41MEAS/LLN0$Measurement","373","366","370"
"232","4.327225264","ipcas_21:73:19","149","1","3","integer,integer,integer,integer,boolean","LIED41CTRL/LLN0$Status","1","1","0"
"233","4.327231645","ipcas_21:73:19","146","1","3","boolean,integer,boolean,boolean,boolean","LIED41PROT/LLN0$Alarm","1","",""
"234","4.327232633","ipcas_21:73:19","198","1","3","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED41MEAS/LLN0$Measurement","370","368","374"
"285","5.360905160","ipcas_21:73:19","149","1","4","integer,integer,integer,integer,boolean","LIED41CTRL/LLN0$Status","1","1","0"
"286","5.360912196","ipcas_21:73:19","146","1","4","boolean,integer,boolean,boolean,boolean","LIED41PROT/LLN0$Alarm","1","",""
"287","5.360913579","ipcas_21:73:19","198","1","4","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED41MEAS/LLN0$Measurement","368","365","369"
"338","6.395976546","ipcas_21:73:19","149","1","5","integer,integer,integer,integer,boolean","LIED41CTRL/LLN0$Status","1","1","0"
"339","6.395982252","ipcas_21:73:19","146","1","5","boolean,integer,boolean,boolean,boolean","LIED41PROT/LLN0$Alarm","1","",""
"340","6.395982730","ipcas_21:73:19","198","1","5","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED41MEAS/LLN0$Measurement","375","371","365"
"391","7.421003069","ipcas_21:73:19","149","1","6","integer,integer,integer,integer,boolean","LIED41CTRL/LLN0$Status","1","1","0"
"392","7.421010716","ipcas_21:73:19","146","1","6","boolean,integer,boolean,boolean,boolean","LIED41PROT/LLN0$Alarm","1","",""
"393","7.421012400","ipcas_21:73:19","198","1","6","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED41MEAS/LLN0$Measurement","375","371","366"
"444","8.455272875","ipcas_21:73:19","149","1","7","integer,integer,integer,integer,boolean","LIED41CTRL/LLN0$Status","1","1","0"
"445","8.455285337","ipcas_21:73:19","146","1","7","boolean,integer,boolean,boolean,boolean","LIED41PROT/LLN0$Alarm","1","",""
"446","8.455287214","ipcas_21:73:19","198","1","7","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED41MEAS/LLN0$Measurement","372","373","369"
"497","9.485263137","ipcas_21:73:19","149","1","8","integer,integer,integer,integer,boolean","LIED41CTRL/LLN0$Status","1","1","0"
"498","9.485272034","ipcas_21:73:19","146","1","8","boolean,integer,boolean,boolean,boolean","LIED41PROT/LLN0$Alarm","1","",""
"499","9.485273626","ipcas_21:73:19","198","1","8","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED41MEAS/LLN0$Measurement","369","368","365"
"550","10.511660870","ipcas_21:73:19","149","1","9","integer,integer,integer,integer,boolean","LIED41CTRL/LLN0$Status","1","1","0"
"551","10.511669099","ipcas_21:73:19","146","1","9","boolean,integer,boolean,boolean,boolean","LIED41PROT/LLN0$Alarm","1","",""
"552","10.511696151","ipcas_21:73:19","198","1","9","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED41MEAS/LLN0$Measurement","369","373","368"
"603","11.558343957","ipcas_21:73:19","149","1","10","integer,integer,integer,integer,boolean","LIED41CTRL/LLN0$Status","1","1","0"
"604","11.558637892","ipcas_21:73:19","146","1","10","boolean,integer,boolean,boolean,boolean","LIED41PROT/LLN0$Alarm","1","",""
"605","11.559079677","ipcas_21:73:19","198","1","10","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED41MEAS/LLN0$Measurement","372","367","368"
"656","12.614473432","ipcas_21:73:19","149","1","11","integer,integer,integer,integer,boolean","LIED41CTRL/LLN0$Status","1","1","0"
"657","12.614473844","ipcas_21:73:19","146","1","11","boolean,integer,boolean,boolean,boolean","LIED41PROT/LLN0$Alarm","1","",""
"658","12.614474360","ipcas_21:73:19","198","1","11","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED41MEAS/LLN0$Measurement","370","371","367"
"709","13.606406173","ipcas_21:73:19","149","1","12","integer,integer,integer,integer,boolean","LIED41CTRL/LLN0$Status","1","1","0"
"710","13.606406460","ipcas_21:73:19","146","1","12","boolean,integer,boolean,boolean,boolean","LIED41PROT/LLN0$Alarm","1","",""
"711","13.606406763","ipcas_21:73:19","198","1","12","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED41MEAS/LLN0$Measurement","375","367","375"
"762","14.620028930","ipcas_21:73:19","149","1","13","integer,integer,integer,integer,boolean","LIED41CTRL/LLN0$Status","1","1","0"
"763","14.620029238","ipcas_21:73:19","146","1","13","boolean,integer,boolean,boolean,boolean","LIED41PROT/LLN0$Alarm","1","",""
"764","14.620029834","ipcas_21:73:19","198","1","13","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED41MEAS/LLN0$Measurement","365","366","375"
"809","15.663610647","ipcas_21:73:19","149","1","14","integer,integer,integer,integer,boolean","LIED41CTRL/LLN0$Status","1","1","0"
"810","15.663610995","ipcas_21:73:19","146","1","14","boolean,integer,boolean,boolean,boolean","LIED41PROT/LLN0$Alarm","1","",""
"811","15.663611339","ipcas_21:73:19","198","1","14","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED41MEAS/LLN0$Measurement","374","374","372"
"865","16.668415876","ipcas_21:73:19","149","1","15","integer,integer,integer,integer,boolean","LIED41CTRL/LLN0$Status","1","1","0"
"866","16.668422301","ipcas_21:73:19","146","1","15","boolean,integer,boolean,boolean,boolean","LIED41PROT/LLN0$Alarm","1","",""
"867","16.668423071","ipcas_21:73:19","198","1","15","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED41MEAS/LLN0$Measurement","375","371","365"
"915","17.698204259","ipcas_21:73:19","149","1","16","integer,integer,integer,integer,boolean","LIED41CTRL/LLN0$Status","1","1","0"
"916","17.698204607","ipcas_21:73:19","146","1","16","boolean,integer,boolean,boolean,boolean","LIED41PROT/LLN0$Alarm","1","",""
"917","17.698204944","ipcas_21:73:19","198","1","16","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED41MEAS/LLN0$Measurement","373","372","369"
"947","18.720681126","ipcas_21:73:19","149","1","17","integer,integer,integer,integer,boolean","LIED41CTRL/LLN0$Status","1","1","0"
"948","18.720687263","ipcas_21:73:19","146","1","17","boolean,integer,boolean,boolean,boolean","LIED41PROT/LLN0$Alarm","1","",""
"949","18.720687801","ipcas_21:73:19","198","1","17","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED41MEAS/LLN0$Measurement","367","366","375"
"997","19.758433029","ipcas_21:73:19","149","1","18","integer,integer,integer,integer,boolean","LIED41CTRL/LLN0$Status","1","1","0"
"998","19.758444074","ipcas_21:73:19","146","1","18","boolean,integer,boolean,boolean,boolean","LIED41PROT/LLN0$Alarm","1","",""
"999","19.758445437","ipcas_21:73:19","198","1","18","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED41MEAS/LLN0$Measurement","372","366","374"
"1050","20.784724006","ipcas_21:73:19","149","1","19","integer,integer,integer,integer,boolean","LIED41CTRL/LLN0$Status","1","1","0"
"1051","20.784729064","ipcas_21:73:19","146","1","19","boolean,integer,boolean,boolean,boolean","LIED41PROT/LLN0$Alarm","1","",""
"1052","20.784730080","ipcas_21:73:19","198","1","19","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED41MEAS/LLN0$Measurement","370","372","365"
"1103","21.815185043","ipcas_21:73:19","149","1","20","integer,integer,integer,integer,boolean","LIED41CTRL/LLN0$Status","1","1","0"
"1104","21.815194066","ipcas_21:73:19","146","1","20","boolean,integer,boolean,boolean,boolean","LIED41PROT/LLN0$Alarm","1","",""
"1105","21.815195630","ipcas_21:73:19","198","1","20","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED41MEAS/LLN0$Measurement","365","372","375"
"1156","22.848266714","ipcas_21:73:19","149","1","21","integer,integer,integer,integer,boolean","LIED41CTRL/LLN0$Status","1","1","0"
"1157","22.848805494","ipcas_21:73:19","146","1","21","boolean,integer,boolean,boolean,boolean","LIED41PROT/LLN0$Alarm","1","",""
"1158","22.851743494","ipcas_21:73:19","198","1","21","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED41MEAS/LLN0$Measurement","371","365","371"
"1209","23.883928754","ipcas_21:73:19","149","1","22","integer,integer,integer,integer,boolean","LIED41CTRL/LLN0$Status","1","1","0"
"1210","23.883929034","ipcas_21:73:19","146","1","22","boolean,integer,boolean,boolean,boolean","LIED41PROT/LLN0$Alarm","1","",""
"1211","23.883929356","ipcas_21:73:19","198","1","22","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED41MEAS/LLN0$Measurement","365","371","372"
"1262","24.902052844","ipcas_21:73:19","149","1","23","integer,integer,integer,integer,boolean","LIED41CTRL/LLN0$Status","1","1","0"
"1263","24.902061146","ipcas_21:73:19","146","1","23","boolean,integer,boolean,boolean,boolean","LIED41PROT/LLN0$Alarm","1","",""
"1264","24.902062075","ipcas_21:73:19","198","1","23","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED41MEAS/LLN0$Measurement","375","368","373"
"1315","25.950864859","ipcas_21:73:19","149","1","24","integer,integer,integer,integer,boolean","LIED41CTRL/LLN0$Status","1","1","0"
"1316","25.950865388","ipcas_21:73:19","146","1","24","boolean,integer,boolean,boolean,boolean","LIED41PROT/LLN0$Alarm","1","",""
"1317","25.950866093","ipcas_21:73:19","198","1","24","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED41MEAS/LLN0$Measurement","374","369","365"
"1368","26.971934447","ipcas_21:73:19","149","1","25","integer,integer,integer,integer,boolean","LIED41CTRL/LLN0$Status","1","1","0"
"1369","26.971939466","ipcas_21:73:19","146","1","25","boolean,integer,boolean,boolean,boolean","LIED41PROT/LLN0$Alarm","1","",""
"1370","26.971940575","ipcas_21:73:19","198","1","25","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED41MEAS/LLN0$Measurement","366","374","365"
"1421","27.995222098","ipcas_21:73:19","149","1","26","integer,integer,integer,integer,boolean","LIED41CTRL/LLN0$Status","1","1","0"
"1422","27.995228827","ipcas_21:73:19","146","1","26","boolean,integer,boolean,boolean,boolean","LIED41PROT/LLN0$Alarm","1","",""
"1423","27.995229890","ipcas_21:73:19","198","1","26","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED41MEAS/LLN0$Measurement","369","374","375"
"1474","29.022836508","ipcas_21:73:19","149","1","27","integer,integer,integer,integer,boolean","LIED41CTRL/LLN0$Status","1","1","0"
"1475","29.022844587","ipcas_21:73:19","146","1","27","boolean,integer,boolean,boolean,boolean","LIED41PROT/LLN0$Alarm","1","",""
"1476","29.022845659","ipcas_21:73:19","198","1","27","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED41MEAS/LLN0$Measurement","370","373","373"
"1531","30.056661640","ipcas_21:73:19","149","1","28","integer,integer,integer,integer,boolean","LIED41CTRL/LLN0$Status","1","1","0"
"1532","30.056671656","ipcas_21:73:19","146","1","28","boolean,integer,boolean,boolean,boolean","LIED41PROT/LLN0$Alarm","1","",""
"1533","30.056673180","ipcas_21:73:19","198","1","28","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED41MEAS/LLN0$Measurement","371","373","373"
"1592","31.109156893","ipcas_21:73:19","149","1","29","integer,integer,integer,integer,boolean","LIED41CTRL/LLN0$Status","1","1","0"
"1593","31.109161674","ipcas_21:73:19","146","1","29","boolean,integer,boolean,boolean,boolean","LIED41PROT/LLN0$Alarm","1","",""
