"No.","Time","Source","Length","stNum","sqNum","Data","goID","integer","integer","integer"
"61","1.229717352","ipcas_21:73:23","149","1","0","integer,integer,integer,integer,boolean","LIED40CTRL/LLN0$Status","1","1","0"
"62","1.229727091","ipcas_21:73:23","146","1","0","boolean,integer,boolean,boolean,boolean","LIED40PROT/LLN0$Alarm","1","",""
"63","1.229728180","ipcas_21:73:23","200","1","0","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED40MEAS/LLN0$Measurement","933","914","931"
"114","2.247197895","ipcas_21:73:23","149","1","1","integer,integer,integer,integer,boolean","LIED40CTRL/LLN0$Status","1","1","0"
"115","2.247209729","ipcas_21:73:23","146","1","1","boolean,integer,boolean,boolean,boolean","LIED40PROT/LLN0$Alarm","1","",""
"116","2.247212305","ipcas_21:73:23","200","1","1","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED40MEAS/LLN0$Measurement","922","932","923"
"167","3.282153506","ipcas_21:73:23","149","1","2","integer,integer,integer,integer,boolean","LIED40CTRL/LLN0$Status","1","1","0"
"168","3.282164391","ipcas_21:73:23","146","1","2","boolean,integer,boolean,boolean,boolean","LIED40PROT/LLN0$Alarm","1","",""
"169","3.282165439","ipcas_21:73:23","200","1","2","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED40MEAS/LLN0$Measurement","928","924","926"
"220","4.310319950","ipcas_21:73:23","149","1","3","integer,integer,integer,integer,boolean","LIED40CTRL/LLN0$Status","1","1","0"
"221","4.310332668","ipcas_21:73:23","146","1","3","boolean,integer,boolean,boolean,boolean","LIED40PROT/LLN0$Alarm","1","",""
"222","4.311084950","ipcas_21:73:23","200","1","3","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED40MEAS/LLN0$Measurement","924","928","919"
"273","5.339141687","ipcas_21:73:23","149","1","4","integer,integer,integer,integer,boolean","LIED40CTRL/LLN0$Status","1","1","0"
"274","5.339148988","ipcas_21:73:23","146","1","4","boolean,integer,boolean,boolean,boolean","LIED40PROT/LLN0$Alarm","1","",""
"275","5.339149709","ipcas_21:73:23","200","1","4","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED40MEAS/LLN0$Measurement","927","918","918"
"326","6.379914922","ipcas_21:73:23","149","1","5","integer,integer,integer,integer,boolean","LIED40CTRL/LLN0$Status","1","1","0"
"327","6.379923990","ipcas_21:73:23","146","1","5","boolean,integer,boolean,boolean,boolean","LIED40PROT/LLN0$Alarm","1","",""
