"No.","Time","Source","Length","stNum","sqNum","Data","goID","integer","integer","integer"
"67","1.235243548","ipcas_21:73:21","149","1","0","integer,integer,integer,integer,boolean","LIED32CTRL/LLN0$Status","1","1","0"
"68","1.235249358","ipcas_21:73:21","146","1","0","boolean,integer,boolean,boolean,boolean","LIED32PROT/LLN0$Alarm","1","",""
"69","1.235250514","ipcas_21:73:21","198","1","0","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED32MEAS/LLN0$Measurement","248","251","246"
"120","2.254888730","ipcas_21:73:21","149","1","1","integer,integer,integer,integer,boolean","LIED32CTRL/LLN0$Status","1","1","0"
"121","2.256217012","ipcas_21:73:21","146","1","1","boolean,integer,boolean,boolean,boolean","LIED32PROT/LLN0$Alarm","1","",""
"122","2.256223226","ipcas_21:73:21","198","1","1","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED32MEAS/LLN0$Measurement","249","249","249"
"173","3.287947196","ipcas_21:73:21","149","1","2","integer,integer,integer,integer,boolean","LIED32CTRL/LLN0$Status","1","1","0"
"174","3.287952983","ipcas_21:73:21","146","1","2","boolean,integer,boolean,boolean,boolean","LIED32PROT/LLN0$Alarm","1","",""
"175","3.287954031","ipcas_21:73:21","198","1","2","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED32MEAS/LLN0$Measurement","249","247","250"
"226","4.320140077","ipcas_21:73:21","149","1","3","integer,integer,integer,integer,boolean","LIED32CTRL/LLN0$Status","1","1","0"
"227","4.321275782","ipcas_21:73:21","146","1","3","boolean,integer,boolean,boolean,boolean","LIED32PROT/LLN0$Alarm","1","",""
"228","4.321280832","ipcas_21:73:21","198","1","3","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED32MEAS/LLN0$Measurement","246","246","243"
"279","5.349902522","ipcas_21:73:21","149","1","4","integer,integer,integer,integer,boolean","LIED32CTRL/LLN0$Status","1","1","0"
"280","5.349912365","ipcas_21:73:21","146","1","4","boolean,integer,boolean,boolean,boolean","LIED32PROT/LLN0$Alarm","1","",""
"281","5.349913668","ipcas_21:73:21","198","1","4","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED32MEAS/LLN0$Measurement","249","246","244"
