"No.","Time","Source","Length","stNum","sqNum","Data","goID","integer","integer","integer"
"7","0.000018836","ipcas_21:73:31","149","1","0","integer,integer,integer,integer,boolean","LIED12CTRL/LLN0$Status","1","1","0"
"8","0.000019705","ipcas_21:73:31","146","1","0","boolean,integer,boolean,boolean,boolean","LIED12PROT/LLN0$Alarm","1","",""
"9","0.000024008","ipcas_21:73:31","203","1","0","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED12MEAS/LLN0$Measurement","311","307","305"
"37","1.005017954","ipcas_21:73:31","149","1","1","integer,integer,integer,integer,boolean","LIED12CTRL/LLN0$Status","1","1","0"
"38","1.005023373","ipcas_21:73:31","146","1","1","boolean,integer,boolean,boolean,boolean","LIED12PROT/LLN0$Alarm","1","",""
"39","1.005024509","ipcas_21:73:31","203","1","1","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED12MEAS/LLN0$Measurement","310","310","313"
"90","2.035977054","ipcas_21:73:31","149","1","2","integer,integer,integer,integer,boolean","LIED12CTRL/LLN0$Status","1","1","0"
"91","2.035982363","ipcas_21:73:31","146","1","2","boolean,integer,boolean,boolean,boolean","LIED12PROT/LLN0$Alarm","1","",""
"92","2.035983419","ipcas_21:73:31","203","1","2","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED12MEAS/LLN0$Measurement","308","309","308"
"143","3.076132115","ipcas_21:73:31","149","1","3","integer,integer,integer,integer,boolean","LIED12CTRL/LLN0$Status","1","1","0"
"144","3.076137768","ipcas_21:73:31","146","1","3","boolean,integer,boolean,boolean,boolean","LIED12PROT/LLN0$Alarm","1","",""
"145","3.076138730","ipcas_21:73:31","203","1","3","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED12MEAS/LLN0$Measurement","309","306","315"
"196","4.107959285","ipcas_21:73:31","149","1","4","integer,integer,integer,integer,boolean","LIED12CTRL/LLN0$Status","1","1","0"
"197","4.107964086","ipcas_21:73:31","146","1","4","boolean,integer,boolean,boolean,boolean","LIED12PROT/LLN0$Alarm","1","",""
"198","4.107981697","ipcas_21:73:31","203","1","4","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED12MEAS/LLN0$Measurement","313","315","310"
"249","5.154930297","ipcas_21:73:31","149","1","5","integer,integer,integer,integer,boolean","LIED12CTRL/LLN0$Status","1","1","0"
"250","5.154934808","ipcas_21:73:31","146","1","5","boolean,integer,boolean,boolean,boolean","LIED12PROT/LLN0$Alarm","1","",""
