"No.","Time","Source","Length","stNum","sqNum","Data","goID","integer","integer","integer"
"22","0.000078330","ipcas_21:73:26","149","1","0","integer,integer,integer,integer,boolean","TIED23CTRL/LLN0$Status","1","1","0"
"23","0.000079088","ipcas_21:73:26","149","1","0","boolean,integer,boolean,boolean,boolean,boolean","TIED23PROT/LLN0$Alarm","1","",""
"24","0.000080087","ipcas_21:73:26","206","1","0","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point,integer","TIED23MEAS/LLN0$Measurement","154","158","151"
"52","1.023101168","ipcas_21:73:26","149","1","1","integer,integer,integer,integer,boolean","TIED23CTRL/LLN0$Status","1","1","0"
"53","1.023105032","ipcas_21:73:26","149","1","1","boolean,integer,boolean,boolean,boolean,boolean","TIED23PROT/LLN0$Alarm","1","",""
"54","1.023105538","ipcas_21:73:26","206","1","1","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point,integer","TIED23MEAS/LLN0$Measurement","159","158","152"
"105","2.057772093","ipcas_21:73:26","149","1","2","integer,integer,integer,integer,boolean","TIED23CTRL/LLN0$Status","1","1","0"
"106","2.057777615","ipcas_21:73:26","149","1","2","boolean,integer,boolean,boolean,boolean,boolean","TIED23PROT/LLN0$Alarm","1","",""
"107","2.057778641","ipcas_21:73:26","206","1","2","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point,integer","TIED23MEAS/LLN0$Measurement","158","153","149"
"158","3.099876043","ipcas_21:73:26","149","1","3","integer,integer,integer,integer,boolean","TIED23CTRL/LLN0$Status","1","1","0"
"159","3.099886039","ipcas_21:73:26","149","1","3","boolean,integer,boolean,boolean,boolean,boolean","TIED23PROT/LLN0$Alarm","1","",""
"160","3.099886737","ipcas_21:73:26","206","1","3","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point,integer","TIED23MEAS/LLN0$Measurement","158","150","155"
"211","4.141894913","ipcas_21:73:26","149","1","4","integer,integer,integer,integer,boolean","TIED23CTRL/LLN0$Status","1","1","0"
"212","4.141901642","ipcas_21:73:26","149","1","4","boolean,integer,boolean,boolean,boolean,boolean","TIED23PROT/LLN0$Alarm","1","",""
"213","4.141902571","ipcas_21:73:26","206","1","4","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point,integer","TIED23MEAS/LLN0$Measurement","153","152","158"
"264","5.166581182","ipcas_21:73:26","149","1","5","integer,integer,integer,integer,boolean","TIED23CTRL/LLN0$Status","1","1","0"
"265","5.166583762","ipcas_21:73:26","149","1","5","boolean,integer,boolean,boolean,boolean,boolean","TIED23PROT/LLN0$Alarm","1","",""
"266","5.166584495","ipcas_21:73:26","206","1","5","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point,integer","TIED23MEAS/LLN0$Measurement","153","152","159"
"317","6.188834565","ipcas_21:73:26","149","1","6","integer,integer,integer,integer,boolean","TIED23CTRL/LLN0$Status","1","1","0"
"318","6.188839157","ipcas_21:73:26","149","1","6","boolean,integer,boolean,boolean,boolean,boolean","TIED23PROT/LLN0$Alarm","1","",""
"319","6.188839618","ipcas_21:73:26","206","1","6","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point,integer","TIED23MEAS/LLN0$Measurement","152","149","156"
"370","7.216420980","ipcas_21:73:26","149","1","7","integer,integer,integer,integer,boolean","TIED23CTRL/LLN0$Status","1","1","0"
"371","7.216425822","ipcas_21:73:26","149","1","7","boolean,integer,boolean,boolean,boolean,boolean","TIED23PROT/LLN0$Alarm","1","",""
