"No.","Time","Source","Length","stNum","sqNum","Data","goID","integer","integer","integer"
"28","0.000083652","ipcas_21:73:24","149","1","0","integer,integer,integer,integer,boolean","LIED30CTRL/LLN0$Status","1","1","0"
"29","0.000084841","ipcas_21:73:24","146","1","0","boolean,integer,boolean,boolean,boolean","LIED30PROT/LLN0$Alarm","1","",""
"30","0.000085613","ipcas_21:73:24","200","1","0","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED30MEAS/LLN0$Measurement","933","914","931"
"58","1.025009162","ipcas_21:73:24","149","1","1","integer,integer,integer,integer,boolean","LIED30CTRL/LLN0$Status","1","1","0"
"59","1.025012376","ipcas_21:73:24","146","1","1","boolean,integer,boolean,boolean,boolean","LIED30PROT/LLN0$Alarm","1","",""
"60","1.025012920","ipcas_21:73:24","200","1","1","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED30MEAS/LLN0$Measurement","922","932","923"
"111","2.063970420","ipcas_21:73:24","149","1","2","integer,integer,integer,integer,boolean","LIED30CTRL/LLN0$Status","1","1","0"
"112","2.065017113","ipcas_21:73:24","146","1","2","boolean,integer,boolean,boolean,boolean","LIED30PROT/LLN0$Alarm","1","",""
"113","2.065301977","ipcas_21:73:24","200","1","2","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED30MEAS/LLN0$Measurement","928","924","926"
"164","3.099888742","ipcas_21:73:24","149","1","3","integer,integer,integer,integer,boolean","LIED30CTRL/LLN0$Status","1","1","0"
"165","3.099889030","ipcas_21:73:24","146","1","3","boolean,integer,boolean,boolean,boolean","LIED30PROT/LLN0$Alarm","1","",""
"166","3.099889329","ipcas_21:73:24","200","1","3","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED30MEAS/LLN0$Measurement","924","928","919"
"217","4.143210398","ipcas_21:73:24","149","1","4","integer,integer,integer,integer,boolean","LIED30CTRL/LLN0$Status","1","1","0"
"218","4.143215406","ipcas_21:73:24","146","1","4","boolean,integer,boolean,boolean,boolean","LIED30PROT/LLN0$Alarm","1","",""
"219","4.143216245","ipcas_21:73:24","200","1","4","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED30MEAS/LLN0$Measurement","927","918","918"
"270","5.168487630","ipcas_21:73:24","149","1","5","integer,integer,integer,integer,boolean","LIED30CTRL/LLN0$Status","1","1","0"
"271","5.168490067","ipcas_21:73:24","146","1","5","boolean,integer,boolean,boolean,boolean","LIED30PROT/LLN0$Alarm","1","",""
"272","5.168490519","ipcas_21:73:24","200","1","5","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED30MEAS/LLN0$Measurement","915","929","928"
"323","6.190626137","ipcas_21:73:24","149","1","6","integer,integer,integer,integer,boolean","LIED30CTRL/LLN0$Status","1","1","0"
"324","6.190628895","ipcas_21:73:24","146","1","6","boolean,integer,boolean,boolean,boolean","LIED30PROT/LLN0$Alarm","1","",""
"325","6.190629240","ipcas_21:73:24","200","1","6","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED30MEAS/LLN0$Measurement","914","916","916"
"376","7.231303697","ipcas_21:73:24","149","1","7","integer,integer,integer,integer,boolean","LIED30CTRL/LLN0$Status","1","1","0"
"377","7.231311553","ipcas_21:73:24","146","1","7","boolean,integer,boolean,boolean,boolean","LIED30PROT/LLN0$Alarm","1","",""
"378","7.231312371","ipcas_21:73:24","200","1","7","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED30MEAS/LLN0$Measurement","921","917","927"
"429","8.255170387","ipcas_21:73:24","149","1","8","integer,integer,integer,integer,boolean","LIED30CTRL/LLN0$Status","1","1","0"
"430","8.255175427","ipcas_21:73:24","146","1","8","boolean,integer,boolean,boolean,boolean","LIED30PROT/LLN0$Alarm","1","",""
"431","8.255175775","ipcas_21:73:24","200","1","8","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED30MEAS/LLN0$Measurement","915","933","920"
"482","9.287923670","ipcas_21:73:24","149","1","9","integer,integer,integer,integer,boolean","LIED30CTRL/LLN0$Status","1","1","0"
