"No.","Time","Source","Length","stNum","sqNum","Data","goID","integer","integer","integer"
"70","1.248192173","ipcas_21:73:20","149","1","0","integer,integer,integer,integer,boolean","LIED33CTRL/LLN0$Status","1","1","0"
"71","1.248200712","ipcas_21:73:20","146","1","0","boolean,integer,boolean,boolean,boolean","LIED33PROT/LLN0$Alarm","1","",""
"72","1.248201938","ipcas_21:73:20","198","1","0","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED33MEAS/LLN0$Measurement","311","308","307"
"123","2.259188730","ipcas_21:73:20","149","1","1","integer,integer,integer,integer,boolean","LIED33CTRL/LLN0$Status","1","1","0"
"124","2.260375478","ipcas_21:73:20","146","1","1","boolean,integer,boolean,boolean,boolean","LIED33PROT/LLN0$Alarm","1","",""
"125","2.260381919","ipcas_21:73:20","198","1","1","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED33MEAS/LLN0$Measurement","314","311","305"
"176","3.297798842","ipcas_21:73:20","149","1","2","integer,integer,integer,integer,boolean","LIED33CTRL/LLN0$Status","1","1","0"
"177","3.297811174","ipcas_21:73:20","146","1","2","boolean,integer,boolean,boolean,boolean","LIED33PROT/LLN0$Alarm","1","",""
"178","3.297812600","ipcas_21:73:20","198","1","2","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED33MEAS/LLN0$Measurement","304","309","307"
"229","4.325214546","ipcas_21:73:20","149","1","3","integer,integer,integer,integer,boolean","LIED33CTRL/LLN0$Status","1","1","0"
"230","4.325219499","ipcas_21:73:20","146","1","3","boolean,integer,boolean,boolean,boolean","LIED33PROT/LLN0$Alarm","1","",""
"231","4.325220586","ipcas_21:73:20","198","1","3","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED33MEAS/LLN0$Measurement","306","309","306"
"282","5.356827225","ipcas_21:73:20","149","1","4","integer,integer,integer,integer,boolean","LIED33CTRL/LLN0$Status","1","1","0"
"283","5.356834963","ipcas_21:73:20","146","1","4","boolean,integer,boolean,boolean,boolean","LIED33PROT/LLN0$Alarm","1","",""
"284","5.356835770","ipcas_21:73:20","198","1","4","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED33MEAS/LLN0$Measurement","307","305","314"
"335","6.392396968","ipcas_21:73:20","149","1","5","integer,integer,integer,integer,boolean","LIED33CTRL/LLN0$Status","1","1","0"
"336","6.392403759","ipcas_21:73:20","146","1","5","boolean,integer,boolean,boolean,boolean","LIED33PROT/LLN0$Alarm","1","",""
"337","6.392404138","ipcas_21:73:20","198","1","5","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED33MEAS/LLN0$Measurement","306","313","310"
"388","7.416430958","ipcas_21:73:20","149","1","6","integer,integer,integer,integer,boolean","LIED33CTRL/LLN0$Status","1","1","0"
"389","7.416439323","ipcas_21:73:20","146","1","6","boolean,integer,boolean,boolean,boolean","LIED33PROT/LLN0$Alarm","1","",""
"390","7.416440158","ipcas_21:73:20","198","1","6","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED33MEAS/LLN0$Measurement","311","307","313"
"441","8.450798510","ipcas_21:73:20","149","1","7","integer,integer,integer,integer,boolean","LIED33CTRL/LLN0$Status","1","1","0"
"442","8.450809803","ipcas_21:73:20","146","1","7","boolean,integer,boolean,boolean,boolean","LIED33PROT/LLN0$Alarm","1","",""
"443","8.450811744","ipcas_21:73:20","198","1","7","integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point","LIED33MEAS/LLN0$Measurement","312","311","311"
"494","9.481419350","ipcas_21:73:20","149","1","8","integer,integer,integer,integer,boolean","LIED33CTRL/LLN0$Status","1","1","0"
