Source,Length,stNum,sqNum,goID,heartbeat,dif_stNum,dif_sqNum,Circuit breaker Open/Close Status,I-high VT,I-high VT- Tran,I-low VT- Tran,I-amongst-feeders,Label
ipcas_21:73:28,149,1,10,LIED22CTRL/LLN0$Status,1.0774639330000007,0.0,1.0,1,351.0,292.1111111111111,992.6666666666666,328.6666666666667,Fault
ipcas_21:73:28,146,1,10,LIED22PROT/LLN0$Alarm,1.0773865689999997,0.0,1.0,1,351.0,292.1111111111111,992.6666666666666,328.6666666666667,Fault
ipcas_21:73:28,203,1,10,LIED22MEAS/LLN0$Measurement,1.0773865189999992,0.0,1.0,1,351.0,292.1111111111111,992.6666666666666,328.6666666666667,Fault
ipcas_21:73:28,149,1,11,LIED22CTRL/LLN0$Status,1.0543117619999993,0.0,1.0,1,349.6666666666667,291.8888888888889,992.0,328.0,Fault
ipcas_21:73:28,146,1,11,LIED22PROT/LLN0$Alarm,1.0543105970000006,0.0,1.0,1,349.6666666666667,291.8888888888889,992.0,328.0,Fault
ipcas_21:73:28,203,1,11,LIED22MEAS/LLN0$Measurement,1.054310622000001,0.0,1.0,1,349.6666666666667,291.8888888888889,992.0,328.0,Fault
ipcas_21:73:28,149,1,12,LIED22CTRL/LLN0$Status,1.0263895000000005,0.0,1.0,1,348.6666666666667,292.22222222222223,981.6666666666666,326.0,Fault
ipcas_21:73:28,146,1,12,LIED22PROT/LLN0$Alarm,1.0263923119999987,0.0,1.0,1,348.6666666666667,292.22222222222223,981.6666666666666,326.0,Fault
ipcas_21:73:28,203,1,12,LIED22MEAS/LLN0$Measurement,1.026392917999999,0.0,1.0,1,348.6666666666667,292.22222222222223,981.6666666666666,326.0,Fault
ipcas_21:73:28,149,1,13,LIED22CTRL/LLN0$Status,1.0371401129999995,0.0,1.0,1,349.0,290.3333333333333,991.3333333333334,328.3333333333333,Fault
ipcas_21:73:28,146,1,13,LIED22PROT/LLN0$Alarm,1.037139636000001,0.0,1.0,1,349.0,290.3333333333333,991.3333333333334,328.3333333333333,Fault
ipcas_21:73:28,203,1,13,LIED22MEAS/LLN0$Measurement,1.0371396560000008,0.0,1.0,1,349.0,290.3333333333333,991.3333333333334,328.3333333333333,Fault
ipcas_21:73:28,149,1,14,LIED22CTRL/LLN0$Status,1.0446099870000012,0.0,1.0,1,349.3333333333333,291.5555555555556,991.6666666666666,327.3333333333333,Fault
ipcas_21:73:28,146,1,14,LIED22PROT/LLN0$Alarm,1.0446090239999997,0.0,1.0,1,349.3333333333333,291.5555555555556,991.6666666666666,327.3333333333333,Fault
ipcas_21:73:28,203,1,14,LIED22MEAS/LLN0$Measurement,1.045068338,0.0,1.0,1,349.3333333333333,291.5555555555556,991.6666666666666,327.3333333333333,Fault
