Source,Length,stNum,sqNum,Data,goID,heartbeat,dif_stNum,dif_sqNum,Circuit breaker Open/Close Status,I-high VT,I-high VT- Tran,I-low VT- Tran,I-amongst-feeders,Label
ipcas_21:73:16,166,1,10,"integer,integer,integer,floating-point",UFIEDMEAS/LLN0$Measurement,1.033480407999999,0.0,1.0,1,6000.0,0.0,0.0,0.0,Fault
ipcas_21:73:16,131,1,11,boolean,UFIEDPROT/LLN0$Alarm,1.0438793139999998,0.0,1.0,1,0.0,0.0,0.0,308.6666666666667,Fault
ipcas_21:73:16,166,1,11,"integer,integer,integer,floating-point",UFIEDMEAS/LLN0$Measurement,1.0438714470000008,0.0,1.0,1,0.0,0.0,0.0,308.6666666666667,Fault
ipcas_21:73:16,131,1,12,boolean,UFIEDPROT/LLN0$Alarm,0.9960565599999995,0.0,1.0,1,0.0,0.0,0.0,309.3333333333333,Fault
ipcas_21:73:16,166,1,12,"integer,integer,integer,floating-point",UFIEDMEAS/LLN0$Measurement,0.9960567020000006,0.0,1.0,1,0.0,0.0,0.0,309.3333333333333,Fault
ipcas_21:73:16,131,1,13,boolean,UFIEDPROT/LLN0$Alarm,1.0111381870000002,0.0,1.0,1,0.0,0.0,0.0,308.0,Fault
ipcas_21:73:16,166,1,13,"integer,integer,integer,floating-point",UFIEDMEAS/LLN0$Measurement,1.011138451999999,0.0,1.0,1,0.0,0.0,0.0,308.0,Fault
ipcas_21:73:16,131,1,14,boolean,UFIEDPROT/LLN0$Alarm,1.0419453590000014,0.0,1.0,1,0.0,0.0,0.0,309.0,Fault
ipcas_21:73:16,166,1,14,"integer,integer,integer,floating-point",UFIEDMEAS/LLN0$Measurement,1.041944956,0.0,1.0,1,0.0,0.0,0.0,309.0,Fault
ipcas_21:73:16,131,1,15,boolean,UFIEDPROT/LLN0$Alarm,1.0097247879999998,0.0,1.0,1,0.0,0.0,0.0,309.0,Fault
ipcas_21:73:16,166,1,15,"integer,integer,integer,floating-point",UFIEDMEAS/LLN0$Measurement,1.009725272999999,0.0,1.0,1,0.0,0.0,0.0,309.0,Fault
