Source,Length,stNum,sqNum,Data,goID,heartbeat,dif_stNum,dif_sqNum,Circuit breaker Open/Close Status,I-high VT,I-high VT- Tran,I-low VT- Tran,I-amongst-feeders,Label
ipcas_21:73:33,149,2,0,"integer,integer,integer,integer,boolean",LIED10CTRL/LLN0$Status,1.0357627520000001,1.0,-9.0,1,6000.0,0.0,0.0,0.0,Fault
ipcas_21:73:33,146,2,0,"boolean,integer,boolean,boolean,boolean",LIED10PROT/LLN0$Alarm,1.035199521000001,1.0,-9.0,1,6000.0,0.0,0.0,0.0,Fault
ipcas_21:73:33,200,2,0,"integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point",LIED10MEAS/LLN0$Measurement,1.0351936609999992,1.0,-9.0,1,6000.0,0.0,0.0,0.0,Fault
ipcas_21:73:33,149,3,0,"integer,integer,integer,integer,boolean",LIED10CTRL/LLN0$Status,1.0316668339999993,1.0,0.0,0,0.0,0.0,0.0,308.6666666666667,Fault
ipcas_21:73:33,146,3,0,"boolean,integer,boolean,boolean,boolean",LIED10PROT/LLN0$Alarm,1.0316696099999998,1.0,0.0,0,0.0,0.0,0.0,308.6666666666667,Fault
ipcas_21:73:33,188,3,0,"integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point",LIED10MEAS/LLN0$Measurement,1.031669624000001,1.0,0.0,0,0.0,0.0,0.0,308.6666666666667,Fault
ipcas_21:73:33,149,3,1,"integer,integer,integer,integer,boolean",LIED10CTRL/LLN0$Status,1.0461055479999999,0.0,1.0,0,0.0,0.0,0.0,309.3333333333333,Fault
ipcas_21:73:33,146,3,1,"boolean,integer,boolean,boolean,boolean",LIED10PROT/LLN0$Alarm,1.0461037209999997,0.0,1.0,0,0.0,0.0,0.0,309.3333333333333,Fault
ipcas_21:73:33,188,3,1,"integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point",LIED10MEAS/LLN0$Measurement,1.0464877559999994,0.0,1.0,0,0.0,0.0,0.0,309.3333333333333,Fault
ipcas_21:73:33,149,3,2,"integer,integer,integer,integer,boolean",LIED10CTRL/LLN0$Status,1.0400848480000011,0.0,1.0,0,0.0,0.0,0.0,308.0,Fault
ipcas_21:73:33,146,3,2,"boolean,integer,boolean,boolean,boolean",LIED10PROT/LLN0$Alarm,1.0400840569999996,0.0,1.0,0,0.0,0.0,0.0,308.0,Fault
ipcas_21:73:33,188,3,2,"integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point",LIED10MEAS/LLN0$Measurement,1.0396994989999992,0.0,1.0,0,0.0,0.0,0.0,308.0,Fault
ipcas_21:73:33,149,3,3,"integer,integer,integer,integer,boolean",LIED10CTRL/LLN0$Status,1.160133772,0.0,1.0,0,0.0,0.0,0.0,309.0,Fault
ipcas_21:73:33,146,3,3,"boolean,integer,boolean,boolean,boolean",LIED10PROT/LLN0$Alarm,1.160936640000001,0.0,1.0,0,0.0,0.0,0.0,309.0,Fault
ipcas_21:73:33,188,3,3,"integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point",LIED10MEAS/LLN0$Measurement,1.160940547000001,0.0,1.0,0,0.0,0.0,0.0,309.0,Fault
ipcas_21:73:33,149,3,4,"integer,integer,integer,integer,boolean",LIED10CTRL/LLN0$Status,1.0208593500000003,0.0,1.0,0,0.0,0.0,0.0,309.0,Fault
ipcas_21:73:33,146,3,4,"boolean,integer,boolean,boolean,boolean",LIED10PROT/LLN0$Alarm,1.02085428,0.0,1.0,0,0.0,0.0,0.0,309.0,Fault
ipcas_21:73:33,188,3,4,"integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point",LIED10MEAS/LLN0$Measurement,1.0208526989999989,0.0,1.0,0,0.0,0.0,0.0,309.0,Fault
ipcas_21:73:33,149,3,5,"integer,integer,integer,integer,boolean",LIED10CTRL/LLN0$Status,1.059382814000001,0.0,1.0,0,0.0,0.0,0.0,309.3333333333333,Fault
ipcas_21:73:33,146,3,5,"boolean,integer,boolean,boolean,boolean",LIED10PROT/LLN0$Alarm,1.0585814209999977,0.0,1.0,0,0.0,0.0,0.0,309.3333333333333,Fault
ipcas_21:73:33,188,3,5,"integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point",LIED10MEAS/LLN0$Measurement,1.0585790880000001,0.0,1.0,0,0.0,0.0,0.0,309.3333333333333,Fault
ipcas_21:73:33,149,3,6,"integer,integer,integer,integer,boolean",LIED10CTRL/LLN0$Status,1.0178724429999981,0.0,1.0,0,0.0,0.0,0.0,309.6666666666667,Fault
ipcas_21:73:33,146,3,6,"boolean,integer,boolean,boolean,boolean",LIED10PROT/LLN0$Alarm,1.017998986000002,0.0,1.0,0,0.0,0.0,0.0,309.6666666666667,Fault
ipcas_21:73:33,188,3,6,"integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point",LIED10MEAS/LLN0$Measurement,1.018625501999999,0.0,1.0,0,0.0,0.0,0.0,309.6666666666667,Fault
ipcas_21:73:33,149,3,7,"integer,integer,integer,integer,boolean",LIED10CTRL/LLN0$Status,1.0350452399999988,0.0,1.0,0,0.0,0.0,0.0,311.3333333333333,Fault
ipcas_21:73:33,146,3,7,"boolean,integer,boolean,boolean,boolean",LIED10PROT/LLN0$Alarm,1.0349130459999998,0.0,1.0,0,0.0,0.0,0.0,311.3333333333333,Fault
ipcas_21:73:33,188,3,7,"integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point",LIED10MEAS/LLN0$Measurement,1.0342867380000023,0.0,1.0,0,0.0,0.0,0.0,311.3333333333333,Fault
ipcas_21:73:33,149,3,8,"integer,integer,integer,integer,boolean",LIED10CTRL/LLN0$Status,1.1112353130000017,0.0,1.0,0,0.0,0.0,0.0,309.6666666666667,Fault
ipcas_21:73:33,146,3,8,"boolean,integer,boolean,boolean,boolean",LIED10PROT/LLN0$Alarm,1.1112453930000008,0.0,1.0,0,0.0,0.0,0.0,309.6666666666667,Fault
ipcas_21:73:33,188,3,8,"integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point",LIED10MEAS/LLN0$Measurement,1.1138599479999982,0.0,1.0,0,0.0,0.0,0.0,309.6666666666667,Fault
ipcas_21:73:33,149,3,9,"integer,integer,integer,integer,boolean",LIED10CTRL/LLN0$Status,1.2455668310000014,0.0,1.0,0,0.0,0.0,0.0,312.0,Fault
ipcas_21:73:33,146,3,9,"boolean,integer,boolean,boolean,boolean",LIED10PROT/LLN0$Alarm,1.2455657759999994,0.0,1.0,0,0.0,0.0,0.0,312.0,Fault
ipcas_21:73:33,188,3,9,"integer,integer,integer,integer,integer,integer,integer,integer,floating-point,floating-point",LIED10MEAS/LLN0$Measurement,1.2429514010000027,0.0,1.0,0,0.0,0.0,0.0,312.0,Fault
ipcas_21:73:33,149,3,10,"integer,integer,integer,integer,boolean",LIED10CTRL/LLN0$Status,1.1664247529999976,0.0,1.0,0,0.0,0.0,0.0,311.3333333333333,Fault
