Length,stNum,sqNum,heartbeat,dif_stNum,dif_sqNum,Circuit breaker Open/Close Status,I-high VT,I-high VT- Tran,I-low VT- Tran,I-amongst-feeders,Label
146,1,2,1.0462535160000002,0.0,1.0,1,308.0,257.8888888888889,926.0,307.6666666666667,0
147,1,214,1.044517911000014,0.0,1.0,1,309.5,256.77777777777777,924.6666666666666,306.1666666666667,0
150,1,512,1.0604853579999372,0.0,1.0,1,308.6666666666667,259.5555555555556,924.3333333333334,306.0,0
149,1,70,1.0810323210000092,0.0,1.0,1,309.5,257.6111111111111,922.0,310.1666666666667,0
147,1,560,1.0227028909999945,0.0,1.0,1,311.5,257.7222222222222,924.3333333333334,307.1666666666667,0
198,1,98,1.0468526679999997,0.0,1.0,1,309.6666666666667,257.8333333333333,930.3333333333334,308.1666666666667,0
149,1,66,1.0508214070000008,0.0,1.0,1,310.3333333333333,258.38888888888886,918.6666666666666,309.5,0
147,1,509,1.031747333999988,0.0,1.0,1,310.6666666666667,257.5,924.0,310.5,0
146,1,51,1.0445958740000023,0.0,1.0,1,309.1666666666667,257.27777777777777,922.3333333333334,309.0,0
199,1,268,1.0422985580000272,0.0,1.0,1,311.0,257.44444444444446,929.0,307.8333333333333,0
147,1,342,1.0399372900000117,0.0,1.0,1,310.1666666666667,258.8333333333333,919.3333333333334,307.8333333333333,0
144,1,443,1.5256655160000037,0.0,1.0,0,309.6666666666667,258.4444444444444,925.0,307.0,0
150,1,360,1.0400684179999755,0.0,1.0,1,309.8333333333333,259.3333333333333,920.6666666666666,310.6666666666667,0
147,1,419,1.0445186249999665,0.0,1.0,1,309.5,256.0,925.6666666666666,306.1666666666667,0
150,1,449,1.0535340219999512,0.0,1.0,1,309.0,257.9444444444444,920.6666666666666,309.1666666666667,0
199,1,232,1.0428060180000216,0.0,1.0,1,307.3333333333333,257.0,930.0,308.8333333333333,0
147,1,584,1.069886198000063,0.0,1.0,1,311.5,258.6666666666667,931.3333333333334,307.1666666666667,0
147,1,200,1.070147764000012,0.0,1.0,1,309.1666666666667,258.27777777777777,919.0,308.8333333333333,0
201,1,475,1.0314144179999971,0.0,1.0,1,310.0,257.1666666666667,924.6666666666666,308.3333333333333,0
150,1,549,1.0211224280000124,0.0,1.0,1,310.3333333333333,256.22222222222223,926.0,309.8333333333333,0
147,1,132,1.0460388839999837,0.0,1.0,1,310.6666666666667,256.77777777777777,918.0,310.3333333333333,0
206,1,125,1.070078736999989,0.0,1.0,1,309.0,258.5,927.3333333333334,307.5,0
132,1,382,1.0736206230000107,0.0,1.0,0,310.1666666666667,257.6666666666667,919.0,309.5,0
150,1,447,1.0276402050000115,0.0,1.0,1,312.5,257.9444444444444,923.0,308.8333333333333,0
147,1,540,1.0325877209999137,0.0,1.0,1,311.0,258.6666666666667,929.3333333333334,310.0,0
204,1,253,1.0515248589999828,0.0,1.0,1,310.6666666666667,258.0,922.3333333333334,308.1666666666667,0
150,1,293,1.0659353540000325,0.0,1.0,1,311.3333333333333,258.5,927.3333333333334,307.0,0
131,1,56,1.0503127869999958,0.0,1.0,0,310.0,259.0,926.6666666666666,309.0,0
147,1,167,1.0624416089999895,0.0,1.0,1,310.5,258.0555555555555,918.0,307.1666666666667,0
150,1,234,1.083412955,0.0,1.0,1,309.5,257.94444444444446,927.0,311.6666666666667,0
204,1,475,1.0267099209999628,0.0,1.0,1,310.0,257.1666666666667,924.6666666666666,308.3333333333333,0
204,1,439,1.077897460000031,0.0,1.0,1,310.6666666666667,258.33333333333337,920.3333333333334,310.1666666666667,0
201,1,285,1.035925394000003,0.0,1.0,1,310.6666666666667,257.3888888888889,926.0,306.0,0
146,1,93,1.0282349099999948,0.0,1.0,1,308.1666666666667,259.5555555555556,922.6666666666666,306.1666666666667,0
199,1,204,1.0507134600000256,0.0,1.0,1,310.1666666666667,257.0555555555556,919.0,307.1666666666667,0
149,1,87,1.0498016319999977,0.0,1.0,1,309.6666666666667,259.0555555555556,920.3333333333334,308.6666666666667,0
147,1,191,1.041515053999973,0.0,1.0,1,310.3333333333333,257.72222222222223,923.6666666666666,310.1666666666667,0
150,1,393,1.0383125869999503,0.0,1.0,1,310.6666666666667,257.0,922.3333333333334,308.3333333333333,0
150,1,185,1.0635469919999991,0.0,1.0,1,309.3333333333333,258.1666666666667,921.3333333333334,310.0,0
204,1,516,1.0221250119999468,0.0,1.0,1,310.6666666666667,258.1111111111111,926.0,306.5,0
204,1,216,1.070838422999998,0.0,1.0,1,311.1666666666667,258.5555555555556,923.3333333333334,306.6666666666667,0
150,1,326,1.0585274379999987,0.0,1.0,1,308.5,258.22222222222223,921.6666666666666,308.6666666666667,0
147,1,547,1.047708121000028,0.0,1.0,1,310.0,258.27777777777777,923.3333333333334,307.6666666666667,0
200,1,42,1.0641252500000036,0.0,1.0,1,310.5,257.05555555555554,922.0,309.1666666666667,0
146,1,88,1.0472379919999923,0.0,1.0,1,310.8333333333333,257.27777777777777,917.3333333333334,307.8333333333333,0
149,1,25,1.0383732099999996,0.0,1.0,1,310.6666666666667,258.5555555555555,925.0,306.6666666666667,0
150,1,519,1.0505036710000013,0.0,1.0,1,310.6666666666667,257.38888888888886,927.0,308.5,0
147,1,357,1.0715405079999982,0.0,1.0,1,309.6666666666667,257.77777777777777,920.0,308.3333333333333,0
147,1,318,1.0528997760000038,0.0,1.0,1,309.6666666666667,257.6666666666667,921.0,309.6666666666667,0
203,1,67,1.0650328759999894,0.0,1.0,1,314.1666666666667,257.8333333333333,928.6666666666666,307.0,0
150,1,424,1.0497815460000195,0.0,1.0,1,310.6666666666667,257.11111111111114,918.6666666666666,306.6666666666667,0
147,1,524,1.056252220000033,0.0,1.0,1,309.1666666666667,259.0,921.0,309.8333333333333,0
201,1,599,1.0465926059999902,0.0,1.0,1,309.6666666666667,259.22222222222223,923.0,309.6666666666667,0
200,1,93,1.0341666599999968,0.0,1.0,1,308.1666666666667,259.5555555555556,922.6666666666666,306.1666666666667,0
198,1,43,1.047023756999998,0.0,1.0,1,310.1666666666667,257.1111111111111,927.3333333333334,306.8333333333333,0
150,1,535,1.0313127050000048,0.0,1.0,1,309.5,257.7777777777778,918.3333333333334,306.5,0
147,1,373,1.0813202690000026,0.0,1.0,1,308.1666666666667,258.3333333333333,921.3333333333334,305.5,0
150,1,404,1.078650720999974,0.0,1.0,1,311.0,257.7777777777778,927.0,308.6666666666667,0
150,1,263,1.0375858339999695,0.0,1.0,1,311.5,258.72222222222223,923.0,306.3333333333333,0
150,1,266,1.054471953000018,0.0,1.0,1,310.5,259.1111111111111,918.0,311.0,0
150,1,420,1.0621204130000024,0.0,1.0,1,311.5,258.9444444444445,918.6666666666666,307.8333333333333,0
150,1,575,1.03885599299997,0.0,1.0,1,310.0,259.22222222222223,924.3333333333334,311.5,0
192,1,470,1.0602645480000206,0.0,1.0,0,309.0,259.2777777777778,923.6666666666666,307.5,0
201,1,539,1.0484988230000454,0.0,1.0,1,309.8333333333333,258.5,920.3333333333334,307.5,0
